Year,Month,Day,PPOILUSDM
2013,6,1,763.043603845228
2013,7,1,729.857477270013
2013,8,1,722.835323978943
2013,9,1,725.796977269961
2013,10,1,762.620879508893
2013,11,1,810.300668509088
2013,12,1,795.274809614982
2014,1,1,769.337282775421
2014,2,1,811.204668117423
2014,3,1,860.51868173512
2014,4,1,825.324971657079
2014,5,1,800.287339283589
2014,6,1,758.471935550584
2014,7,1,752.885193673306
2014,8,1,677.86216106537
2014,9,1,656.983081654465
2014,10,1,673.086555708356
2014,11,1,662.402970237562
2014,12,1,624.535496211625
2015,1,1,641.597233169228
2015,2,1,634.378125181584
2015,3,1,607.654865340564
2015,4,1,591.787920473602
2015,5,1,601.396540199213
2015,6,1,606.404488474595
2015,7,1,575.682129641201
2015,8,1,484.677591320546
2015,9,1,483.487307650792
2015,10,1,530.246639789742
2015,11,1,503.163620012229
2015,12,1,520.602567605653
2016,1,1,531.619442572607
2016,2,1,595.900683226908
2016,3,1,633.067782763729
2016,4,1,680.375486749158
2016,5,1,644.564789449039
2016,6,1,618.453034128718
2016,7,1,584.190132904984
2016,8,1,664.377119626144
2016,9,1,692.406658440732
2016,10,1,651.448642642048
2016,11,1,669.997588232871
2016,12,1,711.756236551718
2017,1,1,726.488555994266
2017,2,1,706.793595646491
2017,3,1,663.299519382585
2017,4,1,623.207664785016
2017,5,1,655.510616305257
2017,6,1,621.181586939107
2017,7,1,617.158220835306
2017,8,1,621.819465680048
2017,9,1,661.631565157988
2017,10,1,648.161663544148
2017,11,1,635.563806500635
2017,12,1,592.797796439949
2018,1,1,633.347501155855
2018,2,1,642.943711013104
2018,3,1,624.308918836003
2018,4,1,618.000861676943
2018,5,1,606.02164191076
2018,6,1,582.897990498486
2018,7,1,538.208165734094
2018,8,1,534.352874709735
2018,9,1,524.853111692692
2018,10,1,506.85604169469
2018,11,1,444.079833274839
2018,12,1,462.438918474042
2019,1,1,519.152943137988
2019,2,1,522.287898643095
2019,3,1,492.679439788188
2019,4,1,503.28511243152
2019,5,1,472.097758555727
2019,6,1,474.627071385656
2019,7,1,466.214596109574
2019,8,1,508.608892809685
