mill_name_,latitude,longitude,iso,certificat,group_name
SOU 8 East Mill,2.883333,101.436136,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
SOU 9A Sepang Mill,2.678486,101.731956,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
SOU 9 West Mill,2.916667,101.35,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
Sri Kamusan Palm Oil Mill,6.203889,117.290833,MYS,RSPO Certified,PPB Oil Palms Berhad
Tunjuk Laut,1.966667,103.966667,MYS,RSPO Certified,Johor Corporation
Ulu Basir POM,3.7,101.25,MYS,RSPO Certified,United Plantations Bhd
Ulu bernam POM,3.75,101.116667,MYS,RSPO Certified,United Plantations Bhd
United International Enterprises POM,4.416667,100.666667,MYS,RSPO Certified,United Plantations Bhd
Wild Asia Sdn. Bhd. (Wild Asia Group Scheme),5.746,117.362,MYS,RSPO Certified,Wild Asia Sdn. Bhd. (Wild Asia Group Scheme)
Gusap Mill,-6.073194,145.984583,PNG,RSPO Certified,New Britain Palm Oil Ltd
Hagita POM,-10.316333,150.287,PNG,RSPO Certified,New Britain Palm Oil Ltd
Hargy Mill,-5.31111488,151.0109719,PNG,RSPO Certified,SIPEF Group
Kapiura,-5.62366,150.6844,PNG,RSPO Certified,New Britain Palm Oil Ltd
Kumbango,-5.59196,150.21211,PNG,RSPO Certified,New Britain Palm Oil Ltd
Mamba Mill,-8.769184,148.160793,PNG,RSPO Certified,New Britain Palm Oil Ltd
Mosa,-5.622468,150.23735,PNG,RSPO Certified,New Britain Palm Oil Ltd
Navo Mill,5.0941090000000004,151.224494,PNG,RSPO Certified,SIPEF Group
Numundo,-5.233512,150.033638,PNG,RSPO Certified,New Britain Palm Oil Ltd
SPKS,3.8067,101.0292,MYS,None,Unknown
Poliamba Mill,-2.874633,151.2763,PNG,RSPO Certified,New Britain Palm Oil Ltd
Sangara Mill,-8.743386,148.198705,PNG,RSPO Certified,New Britain Palm Oil Ltd
Waraston,-5.484085,150.086927,PNG,RSPO Certified,New Britain Palm Oil Ltd
Krabinoi Mill,8.055852,99.034998,THA,RSPO Certified,United Palm Oil Industry Public Company Limited (UPOIC)
Lamthap Mill,8.000322,99.330686,THA,RSPO Certified,Univanich Palm Oil Public Company Limited
Siam Mill,8.385822,98.729131,THA,RSPO Certified,Univanich Palm Oil Public Company Limited
Topi Mill,8.578792,98.920751,THA,RSPO Certified,Univanich Palm Oil Public Company Limited
Gunta Samba,1.2603,117.7085,IDN,None,Unknown
Steelindo Wahana Perkasa,-2.6987,108.0243,IDN,None,Unknown
Bukit Bintang Sawit,-1.3863,103.4955,IDN,None,Unknown
Coronation Palm Oil Mill,2.0063,103.3014,MYS,None,Unknown
Adimulia Agrolestari,-0.109,101.3868,IDN,None,Unknown
Ganda Buanindo,0.0062,101.2375,IDN,None,Unknown
Langgam Inti Hibrindo,0.3036,101.9048,IDN,None,Unknown
Multi Agro Sentosa,0.7767,100.8901,IDN,None,Unknown
Nagamas Agro Mulia,1.3011,100.3977,IDN,None,Unknown
Sewangi Sawit Sejahtera,0.5821,101.0872,IDN,None,Unknown
